TEI,TPRES,Category,
pPrebody,pPrebody,Element,
precision,precisionData,Element,
pRef,pRef,Element,
prefatoryMatter,prefatoryMatter,Element,
prefixDecl,prefixDecl,Element,
prefixDef,prefixDef,Element,
preparedness,preparednessChar,Element,
principal,principalResearcher,Element,
profileDesc,profileDesc,Element,
projectDesc,projectDesc,Element,
prologue,prologueText,Element,
pron,pronWord,Element,
provenance,provenanceMs,Element,
publicationStmt,publicationStmt,Element,
publisher,publisherOrg,Element,
pubPlace,pubPlace,Element,
pc,puncChar,Element,
punctuation,punctuationPol,Element,
purpose,purposeChar,Element,
quotation,quotationPol,Element,
epigraph,quoteEpi,Element,
quoteGroup,quoteGroup,Element,
quoteInner,quoteInner,Element,
quote,quoteMaterial,Element,
q,quoteText,Element,
raceID,raceID,Element,
rdgGrp,rdgGrp,Element,
rdg,rdgIdent,Element,
recordCite,recordCite,Element,
recordHist,recordHist,Element,
recording,recordingEvent,Element,
recordingStmt,recordingStmt,Element,
redo,redoChange,Element,
ref,referenceLoc,Element,
refsDecl,refsDecl,Element,
rs,refString,Element,
region,regionFeat,Element,
reg,regReading,Element,
re,relatedEntry,Element,
relatedItem,relatedItem,Element,
relation,relationShip,Element,
authority,releasePermission,Element,
remarks,remarksText,Element,
rendition,rendFormat,Element,
reporterStmt,reporterStmt,Element,
repository,repositoryName,Element,
researcherGrp,researcherGrp,Element,
residence,residenceDesc,Element,
resp,respDesc,Element,
respons,respPers,Element,
respStmt,respStmt,Element,
restore,restoreText,Element,
retrace,retraceWriting,Element,
rhyme,rhymeText,Element,
roleDesc,roleDesc,Element,
role,roleIdent,Element,
roleName,roleName,Element,
rubric,rubricText,Element,
said,saidAloud,Element,
salute,saluteText,Element,
samplingDecl,samplingDecl,Element,
schemaRef,schemaRef,Element,
schemaSpec,schemaSpec,Element,
scriptDesc,scriptDesc,Element,
scriptNote,scriptNote,Element,
scriptStmt,scriptStmt,Element,
sealDesc,sealDesc,Element,
seal,sealItem,Element,
secFol,secFol,Element,
secl,seclText,Element,
secondaryResearcher,secondaryResearcher,Element,
segmentation,segmentationPol,Element,
seg,segText,Element,
sense,senseGrp,Element,
s,senText,Element,
seriesStmt,seriesStmt,Element,
set,setDesc,Element,
settlement,settlementIdent,Element,
setting,settingEntry,Element,
settingDesc,settingDesc,Element,
sex,sexPers,Element,
shift,shiftDesc,Element,
sic,sicText,Element,
signatures,signaturesDesc,Element,
signed,signedText,Element,
soCalled,soCalled,Element,
socecStatus,socecStatus,Element,
sound,soundEffect,Element,
sourceDesc,sourceDesc,Element,
sourceDoc,sourceDoc,Element,
source,sourceMs,Element,
space,spaceText,Element,
spanGrp,spanGrp,Element,
span,spanInfo,Element,
speaker,speakerLabel,Element,
specDesc,specDesc,Element,
specGrp,specGrp,Element,
specGrpRef,specGrpRef,Element,
specList,specList,Element,
view,spectatorView,Element,
sp,speechWrap,Element,
spGrp,spGrp,Element,
sponsor,sponsorOrg,Element,
stage,stageDir,Element,
stamp,stampDesc,Element,
state,stateDesc,Element,
stdVals,stdVals,Element,
stress,stressPattern,Element,
street,streetInfo,Element,
string,stringRef,Element,
styleDefDecl,styleDefDecl,Element,
subc,subCat,Element,
subCite,subCite,Element,
substJoin,substJoin,Element,
subst,substText,Element,
summary,summaryInfo,Element,
superEntry,superEntry,Element,
supplied,suppliedText,Element,
supportDesc,supportDesc,Element,
support,supportMs,Element,
surname,surName,Element,
surplus,surplusText,Element,
surrogates,surrogatesMs,Element,
syll,syllStruc,Element,
symbol,symbolicVal,Element,
